"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 30 01:33:20 MSK 2024","Sun Jun 30 01:33:21 MSK 2024","1184","tests","Создание заказа","TestCreateOrder","","","test_create_order_with_authorization",""
"passed","Sun Jun 30 01:33:18 MSK 2024","Sun Jun 30 01:33:18 MSK 2024","328","tests","Изменение данных пользовователя","TestChangingUserData","","","Изменение имени авторизованного пользователя",""
"passed","Sun Jun 30 01:33:23 MSK 2024","Sun Jun 30 01:33:23 MSK 2024","243","tests","Создание пользователя","TestCreateUser","","","test_create_user_with_incorrect_data[user_data1]",""
"passed","Sun Jun 30 01:33:22 MSK 2024","Sun Jun 30 01:33:22 MSK 2024","160","tests","Создание заказа","TestCreateOrder","","","test_create_order_without_ingridient",""
"passed","Sun Jun 30 01:33:17 MSK 2024","Sun Jun 30 01:33:17 MSK 2024","352","tests","Изменение данных пользовователя","TestChangingUserData","","","Изменение пароля авторизованного пользователя",""
"passed","Sun Jun 30 01:33:21 MSK 2024","Sun Jun 30 01:33:22 MSK 2024","305","tests","Создание заказа","TestCreateOrder","","","test_create_order_not_authorized",""
"passed","Sun Jun 30 01:33:22 MSK 2024","Sun Jun 30 01:33:22 MSK 2024","261","tests","Создание заказа","TestCreateOrder","","","test_create_order_invalid_hash",""
"passed","Sun Jun 30 01:33:19 MSK 2024","Sun Jun 30 01:33:19 MSK 2024","223","tests","Изменение данных пользовователя","TestChangingUserData","","","Изменение данных пользователя без авторизации",""
"passed","Sun Jun 30 01:33:24 MSK 2024","Sun Jun 30 01:33:26 MSK 2024","1623","tests","Получение заказов конкретного пользователя","TestGetOrder","","","test_get_order_user_with_authorization",""
"passed","Sun Jun 30 01:33:26 MSK 2024","Sun Jun 30 01:33:27 MSK 2024","239","tests","Авторизация пользователя","TestLogin","","","test_login_user",""
"passed","Sun Jun 30 01:33:23 MSK 2024","Sun Jun 30 01:33:23 MSK 2024","315","tests","Создание пользователя","TestCreateUser","","","test_create_user_with_incorrect_data[user_data0]",""
"passed","Sun Jun 30 01:33:26 MSK 2024","Sun Jun 30 01:33:26 MSK 2024","263","tests","Получение заказов конкретного пользователя","TestGetOrder","","","test_get_order_user_without_authorization",""
"passed","Sun Jun 30 01:33:16 MSK 2024","Sun Jun 30 01:33:16 MSK 2024","293","tests","Изменение данных пользовователя","TestChangingUserData","","","Изменение почты авторизованного пользователя",""
"passed","Sun Jun 30 01:33:23 MSK 2024","Sun Jun 30 01:33:24 MSK 2024","298","tests","Создание пользователя","TestCreateUser","","","test_create_user_with_incorrect_data[user_data2]",""
"passed","Sun Jun 30 01:33:22 MSK 2024","Sun Jun 30 01:33:23 MSK 2024","285","tests","Создание пользователя","TestCreateUser","","","test_create_new_user_success",""
"passed","Sun Jun 30 01:33:23 MSK 2024","Sun Jun 30 01:33:23 MSK 2024","192","tests","Создание пользователя","TestCreateUser","","","test_create_same_user",""
"passed","Sun Jun 30 01:33:27 MSK 2024","Sun Jun 30 01:33:27 MSK 2024","152","tests","Авторизация пользователя","TestLogin","","","test_login_user_error",""
"passed","Sun Jun 30 01:33:22 MSK 2024","Sun Jun 30 01:33:22 MSK 2024","280","tests","Создание заказа","TestCreateOrder","","","test_create_order_with_ingridient",""
